"MobID","Level","MaxHP","EXP"
"9400717","1","1","20"
"9400615","10","120","20"
"9400716","1","1","20"
"9500322","10","3","20"
"9400715","1","1","20"
"9500185","15","15","20"
"9500184","15","15","20"
"9400723","1","1","20"
"9500186","15","15","20"
"9400720","1","1","20"
"9400721","1","1","20"
"9400724","1","1","20"
"9500167","10","120","20"
"9400513","10","250","20"
"9400718","1","1","20"
"9500370","15","450","20"
"9400656","10","120","20"
"9400719","1","1","20"
"9500191","16","20","20"
"9300083","11","155","22"
"9300063","6","60","22"
"9300064","11","155","22"
"9300082","6","60","22"
"9500104","12","200","24"
"1120100","12","200","24"
"9500188","20","20","25"
"9500187","20","20","25"
"9400647","15","200","25"
"1110130","15","250","26"
"9400657","15","250","26"
"1110100","15","250","26"
"9400616","15","250","26"
"9500105","15","250","26"
"1210103","15","240","26"
"9500151","15","240","26"
"9200004","15","250","26"
"9500103","15","240","26"
"9420005","15","230","28"
"9300220","17","300","30"
"9300157","25","1200","30"
"9400005","15","275","30"
"9400607","15","250","30"
"9420502","18","280","30"
"9400570","15","250","30"
"1130100","17","300","30"
"2100100","20","350","32"
"9500152","20","350","32"
"9200008","20","350","32"
"9300286","20","350","32"
"2220100","20","350","32"
"9400622","20","350","32"
"9300259","20","350","32"
"1140130","19","330","33"
"9400601","20","350","33"
"1140100","19","330","33"
"9600001","20","340","33"
"2300100","20","300","33"
"2100101","21","400","34"
"9500106","22","300","35"
"9500182","35","330000000","35"
"9400621","22","300","35"
"9500183","35","330000000","35"
"9200003","22","300","35"
"9400246","22","300","35"
"9300311","200","330000000","35"
"9400538","19","320","35"
"2110200","22","300","35"
"9300269","20","2000","35"
"2230108","22","400","36"
"9400565","21","300","36"
"9400539","21","350","37"
"2100102","22","450","37"
"9400556","21","300","37"
"9600002","22","380","37"
"9400618","22","550","38"
"2130100","22","550","38"
"2130103","21","285","38"
"9420506","23","450","40"
"9410000","23","500","40"
"5200000","23","600","40"
"9400568","20","350","41"
"2100105","23","500","42"
"2230103","23","450","42"
"9300238","24","500","42"
"9400000","25","550","42"
"2230101","24","500","42"
"2230110","23","500","42"
"2230102","25","550","42"
"9600003","25","550","42"
"9400245","24","500","42"
"9200010","24","500","42"
"9400619","24","500","42"
"2230106","25","550","42"
"2230131","24","500","42"
"9200000","25","550","42"
"2230105","23","500","42"
"9500153","25","560","43"
"9410001","25","550","43"
"2100106","24","550","45"
"2230111","24","600","45"
"2230107","24","500","45"
"9420004","25","500","46"
"9300221","25","550","47"
"2100103","25","550","47"
"9500189","30","100","50"
"9420500","28","700","50"
"9400511","20","350","50"
"2230100","27","720","50"
"2100107","27","700","50"
"9200011","27","720","50"
"2230109","28","740","52"
"9400002","30","920","55"
"9400559","50","2000","55"
"2110300","24","600","55"
"5200001","30","900","55"
"5200002","30","900","55"
"9400001","30","900","55"
"9400508","27","720","55"
"9400248","24","600","55"
"2100104","28","750","55"
"9400239","24","600","55"
"3000006","30","900","55"
"9400550","27","700","55"
"9400547","27","700","55"
"2230104","28","780","55"
"3000000","30","900","55"
"9300222","28","750","55"
"9500154","30","930","56"
"2110301","29","780","58"
"9420000","28","720","58"
"9600004","30","900","58"
"2230200","29","790","58"
"2100108","29","780","58"
"9400602","25","600","58"
"9400649","30","1950","60"
"9400623","25","2500","60"
"5300000","32","1000","60"
"9400613","25","2500","60"
"9400612","25","2500","60"
"9400648","30","1300","60"
"9300234","32","1200","60"
"9400238","30","950","60"
"9420503","33","1000","60"
"9400609","25","2500","60"
"9400611","25","2500","60"
"9400610","25","2500","60"
"9200001","32","1000","60"
"3230400","30","950","60"
"9500108","32","1200","60"
"9400006","30","1050","60"
"9500107","30","950","60"
"3210100","32","1000","60"
"9400541","25","730","60"
"3100102","30","870","60"
"3110100","32","1200","60"
"3000005","30","950","60"
"3100101","32","1000","60"
"9400247","30","950","60"
"9200016","30","950","60"
"9400540","25","730","60"
"9200015","30","950","60"
"3230307","31","800","62"
"3110300","32","1000","62"
"3110301","32","1000","62"
"3300000","30","750","63"
"9400512","30","950","65"
"9500109","32","1000","65"
"9400509","33","1100","65"
"3110102","32","1000","65"
"3110101","32","1050","65"
"9200017","32","1050","65"
"5300001","33","1100","65"
"3210201","33","1100","65"
"3300001","30","780","65"
"3210200","33","1100","65"
"9302011","32","1050","65"
"3210202","33","1100","65"
"3230104","32","1000","65"
"9400548","30","950","65"
"9600006","33","1200","66"
"9300114","58","2700","68"
"3300002","31","810","68"
"3230101","35","1200","70"
"3230100","35","1250","70"
"9300115","59","2820","70"
"9400743","140","160000","70"
"3210207","34","1100","70"
"9300232","34","1100","70"
"3210204","34","1200","70"
"3210205","34","1150","70"
"9500111","35","1200","70"
"9500157","35","1200","70"
"3300003","32","850","71"
"9600005","35","1250","71"
"9300116","60","2940","72"
"3230302","35","1300","72"
"3230200","35","1300","72"
"9500143","35","1400","72"
"9500110","35","1300","72"
"9400558","30","850","73"
"9400638","20","850","74"
"3110302","35","1400","75"
"3300004","33","900","75"
"9500112","35","1400","75"
"5400000","35","1400","75"
"9500117","36","1350","77"
"3210800","37","1500","77"
"9500113","36","1400","77"
"9300225","37","1500","77"
"3210206","36","1350","77"
"9200006","37","1500","77"
"3210203","36","1400","77"
"3210208","36","1400","78"
"9300224","37","1500","79"
"9600008","37","1500","79"
"9420501","38","1900","80"
"3400000","35","1400","80"
"3210450","36","1430","80"
"9300227","37","1950","80"
"9500115","37","1950","80"
"3230102","37","1950","80"
"9410011","36","1400","81"
"9410009","36","1550","81"
"3230303","37","1700","82"
"3230306","37","1750","82"
"9300015","37","2750","82"
"9200013","40","2000","85"
"3230304","38","1830","85"
"9500318","40","4500","85"
"9400510","35","1250","85"
"4230100","40","2000","85"
"3230103","38","1850","85"
"9500118","39","1900","85"
"9400515","38","1550","85"
"9500114","38","1850","85"
"3110303","38","1850","85"
"3400001","36","1500","85"
"9400542","36","1450","85"
"3230405","38","1850","85"
"3230308","39","1900","85"
"9600007","38","1800","86"
"9500145","38","1850","87"
"3400002","37","1600","88"
"9410007","38","1900","88"
"9410006","38","1900","88"
"9410005","38","1900","88"
"9200007","40","1800","90"
"9300226","40","1800","90"
"4230101","40","1800","90"
"9500116","40","1800","90"
"9400516","40","1900","90"
"9300011","39","1920","92"
"3230305","39","1920","92"
"9300108","56","4300","92"
"9500119","39","1920","92"
"9400011","40","1920","93"
"9400217","41","1600","95"
"9400543","41","1600","95"
"4230500","40","1900","95"
"4230107","41","1600","95"
"4230116","40","1930","95"
"9410003","40","1850","95"
"9300109","57","4500","95"
"9420003","40","1920","95"
"9300233","40","1900","95"
"9500366","15","380","95"
"4230113","40","1900","95"
"3400003","38","1600","95"
"9500190","1800","70","95"
"9300332","40","1930","95"
"4230200","40","1900","95"
"4230600","40","1800","95"
"4230201","40","1910","97"
"9300110","58","4700","98"
"4230103","42","2200","99"
"4230501","41","2000","99"
"9500371","15","480","99"
"4230122","42","2100","99"
"9300016","41","3050","99"
"9300335","41","2080","99"
"4090000","42","2200","99"
"4230114","41","2050","99"
"4230111","41","2000","99"
"4230119","41","2080","99"
"9300230","41","2050","99"
"4230105","42","2100","99"
"9400603","40","1300","100"
"9100013","30","8000","100"
"9300037","66","22000","100"
"9500146","42","2250","100"
"9400644","10","1000","100"
"9300112","59","4100","100"
"3400005","38","1700","100"
"9300111","59","4900","100"
"9300036","66","22000","100"
"4230109","42","2400","102"
"4110300","42","2400","102"
"4230117","42","2300","102"
"4230108","43","2300","102"
"9300239","42","2300","102"
"9410002","42","2300","102"
"9400216","42","2300","102"
"4250000","42","2400","102"
"4230124","42","2300","102"
"9500367","15","400","102"
"4230123","43","2400","103"
"4230502","43","2400","103"
"9300113","60","4300","104"
"4230112","44","2450","105"
"9300126","59","9500","105"
"4230120","44","2480","105"
"9500372","15","500","105"
"4130100","45","2700","105"
"4230106","45","2500","105"
"4230125","44","2450","107"
"9600009","50","18000","108"
"4230118","45","2550","110"
"9500368","15","420","110"
"4230121","46","2600","110"
"4230300","45","2600","110"
"9300127","30","1800","110"
"9300337","46","2600","110"
"9500120","45","2600","110"
"4130101","46","2550","110"
"9300336","46","2600","110"
"3400008","39","1800","110"
"4300001","40","1800","110"
"4110301","45","2550","110"
"9400215","45","2550","110"
"4230504","45","2550","110"
"9300240","45","2550","110"
"9300252","45","2550","110"
"4230503","45","2550","110"
"4230110","45","2600","110"
"9500148","45","2600","110"
"9400004","45","2600","110"
"9300347","45","5000","110"
"4250001","46","2600","112"
"9300128","30","1800","113"
"9300130","30","2300","113"
"4230400","45","2650","115"
"9300131","39","2300","115"
"9300231","46","2600","115"
"9300129","30","1600","115"
"4130102","47","2700","115"
"4130104","47","2700","115"
"9400214","46","2600","115"
"9300017","46","3600","115"
"9400560","50","1800","115"
"4230115","46","2600","115"
"4300003","41","1900","115"
"4110302","47","2750","117"
"9410004","47","2800","117"
"4230126","47","2750","117"
"9300132","30","2400","117"
"4230505","47","2700","117"
"2220000","20","2000","120"
"9300133","30","3000","120"
"9400007","45","2900","120"
"9300184","20","2000","120"
"9400518","30","800","120"
"9500306","20","2000","120"
"3000001","30","800","120"
"9500337","20","2000","120"
"9300001","32","1000","120"
"3000002","30","800","120"
"9420508","43","2150","120"
"9400749","50","2150","120"
"9500121","48","2800","120"
"9400604","45","2000","120"
"9500156","48","2800","120"
"3000004","30","800","120"
"9400563","40","?","120"
"9400546","44","2490","120"
"4230102","48","2800","120"
"3000003","30","800","120"
"4300005","42","2000","120"
"9400588","50","3500","122"
"4300006","43","2300","122"
"9400585","75","3500","122"
"9400587","50","3500","122"
"9400586","75","3500","122"
"4230506","48","2800","123"
"4300007","44","2400","125"
"4230104","48","3000","128"
"4300008","45","2500","128"
"9300228","48","3000","128"
"9400100","45","2800","130"
"4300009","46","2600","130"
"9420504","50","2900","130"
"9420527","45","2600","132"
"4300010","47","2700","133"
"9410010","50","3800","135"
"5120503","50","3000","135"
"9410008","50","3800","135"
"9300253","50","3000","135"
"9420528","47","2850","135"
"5110300","50","3000","135"
"5130100","50","3200","135"
"5100000","50","3700","135"
"9300134","30","3300","135"
"9400517","40","1930","135"
"9400583","45","2800","135"
"9200018","50","3700","135"
"9200012","50","3200","135"
"9500149","50","3600","136"
"4300011","48","2800","138"
"9400101","47","2800","139"
"9420505","53","3200","140"
"5100003","50","3800","140"
"9400650","50","2950","140"
"5120504","51","3200","142"
"5250001","51","3600","142"
"5100002","51","3600","142"
"4300012","49","3000","143"
"9400651","50","3950","145"
"9400102","50","3100","148"
"3230300","35","1700","150"
"4300014","47","2700","150"
"3230301","35","1700","150"
"9300123","59","7350","150"
"9300135","30","3000","153"
"5120000","52","4000","155"
"9300124","60","7800","156"
"5120501","53","4200","160"
"9420507","48","3000","160"
"5120002","53","4200","160"
"5120001","53","4200","160"
"5120003","53","4200","160"
"9400571","50","4000","160"
"5100005","53","4500","165"
"9300004","54","4100","165"
"9300125","62","8700","165"
"5120502","54","4400","168"
"5110301","54","4400","168"
"9400240","54","4400","168"
"9400249","54","4400","168"
"5130103","52","3800","170"
"9300235","52","3800","170"
"9300040","54","4400","170"
"9300027","23","1000","170"
"9300057","54","4400","170"
"9400243","55","4000","170"
"9200009","55","4000","170"
"9400212","55","4000","170"
"5130104","55","4600","170"
"5130101","55","4000","170"
"9420529","52","3700","172"
"5120506","55","4500","175"
"5250000","55","4400","175"
"5300100","55","4000","175"
"5130105","56","4400","180"
"4300015","48","2800","180"
"9300120","59","8820","180"
"9400213","56","4400","180"
"9500168","20","945","182"
"9400708","20","54000","182"
"9420530","56","4600","185"
"5100004","56","4500","185"
"5120500","56","4800","185"
"9500155","56","4500","185"
"9300244","56","4800","185"
"9300243","56","4500","185"
"9300121","60","9360","187"
"6230101","63","20000","190"
"5150001","57","4600","190"
"9400210","57","4700","190"
"4300016","49","3000","190"
"9400209","57","4500","190"
"5130108","57","4500","190"
"5130107","57","4500","190"
"9300122","62","10440","198"
"5130102","58","4800","200"
"5250002","57","4500","200"
"6300004","66","38000","200"
"9400605","60","4400","200"
"9420509","58","5000","200"
"9400211","58","4800","200"
"5120505","58","5600","205"
"9300154","58","5600","205"
"5110302","58","5600","205"
"9420532","59","6200","210"
"3300005","35","120000","210"
"9500325","23","5000","210"
"3300006","35","120000","210"
"9400244","59","6000","210"
"6300003","67","40000","210"
"5150000","59","6000","210"
"3300007","35","120000","210"
"9500123","59","6000","210"
"5140000","58","5800","220"
"9200019","58","5800","220"
"9400012","60","7100","220"
"9420531","59","5800","220"
"9420511","60","5500","220"
"9400003","60","7100","220"
"9500125","60","6000","220"
"9400639","50","3300","220"
"9400544","50","3300","220"
"6130100","60","6000","220"
"6130103","60","7200","220"
"9500150","60","6900","221"
"9300245","60","6500","225"
"6130203","60","6500","225"
"6130200","61","7400","230"
"9420002","60","6000","230"
"9400572","60","7000","230"
"9300172","62","6100","235"
"9420533","61","6000","235"
"6400003","69","60000","240"
"9400204","55","6000","240"
"6230602","63","7500","240"
"9300177","62","3500","240"
"9300000","21","320","240"
"9300246","62","3500","240"
"6230100","62","5500","240"
"9200014","62","5500","240"
"6130207","62","7500","240"
"6230401","63","7600","245"
"6090004","63","7600000","245"
"6230400","63","7600","245"
"6230200","64","7800","250"
"9500126","64","7700","250"
"6130204","64","7800","250"
"6400004","70","80000","250"
"6230600","64","7700","250"
"9420510","63","5800","250"
"9420534","65","9800","255"
"9300248","66","9000","255"
"9300247","65","6700","255"
"9300179","65","7500","255"
"9300178","65","6700","255"
"6300000","65","11000","255"
"6130209","66","9000","255"
"6110300","65","11000","255"
"9300173","65","7200","255"
"9300258","65","11000","255"
"9300141","65","11000","255"
"9300005","32","3700","260"
"9300169","32","3700","260"
"6230300","66","9400","260"
"9500169","30","3094","263"
"9500128","68","13000","265"
"9500127","67","11000","265"
"6230601","68","13000","265"
"9300080","68","13000","265"
"6400000","68","13000","265"
"6110301","68","13000","265"
"6230500","67","11000","265"
"6130208","68","12500","265"
"9300241","68","12500","265"
"9500319","70","6000","270"
"7130500","70","14500","270"
"9400218","73","16000","270"
"8140200","70","15000","270"
"9300249","70","15000","270"
"9420535","68","12000","270"
"9500129","70","15000","270"
"7130100","70","15000","270"
"9500147","70","20000","272"
"9420512","68","11500","275"
"9410013","60","6000","280"
"9400606","70","13000","280"
"9300006","34","4300","280"
"9300257","60","6000","280"
"9300002","35","2000","280"
"9300170","34","4300","280"
"7130104","70","15000","282"
"9300242","70","15000","282"
"9300171","35","4900","288"
"9300007","35","4900","288"
"9300149","78","29000","295"
"7130001","72","15200","295"
"7130002","72","15200","295"
"7130600","72","15000","295"
"9300060","42","1100","296"
"9400652","65","10000","300"
"9300254","73","20000","300"
"9300255","47","23000","300"
"9420536","72","15200","300"
"9500327","30","9500","300"
"9400319","20","2500","300"
"9300144","47","23000","300"
"9300143","73","20000","300"
"9300053","51","6400","305"
"9300051","51","6400","305"
"9300052","51","6400","305"
"9400653","65","13000","310"
"9400110","62","10000","310"
"9300117","62","22800","313"
"7130103","73","15300","315"
"9500131","73","15500","320"
"9300046","53","6300","320"
"7130000","73","15500","320"
"9300147","77","20000","320"
"9300142","73","15500","320"
"9300055","53","6300","320"
"9400111","64","9000","320"
"7110301","73","15500","320"
"9300251","73","15500","320"
"9300045","54","6600","325"
"9400008","65","7980","325"
"6130202","60","7000","330"
"4220000","45","7800","330"
"8120100","81","126000","330"
"8120101","85","138000","330"
"7120102","77","114000","330"
"7120101","73","102000","330"
"8140510","90","150000","330"
"7120107","75","15000","330"
"9300148","79","24000","330"
"7120106","75","15000","330"
"7120100","70","90000","330"
"9300145","74","33000","330"
"9400561","60","6800","335"
"9400562","60","6800","335"
"9300054","54","6600","335"
"7120103","70","15000","338"
"9300014","43","6500","340"
"7130501","74","15500","340"
"6300100","74","16000","340"
"9300084","43","6500","340"
"9300008","43","7100","340"
"7120104","71","15100","346"
"9300087","75","18000","350"
"7130101","75","18000","350"
"7090000","75","150000","350"
"7110300","75","16000","350"
"7130200","75","16000","350"
"9500132","75","16000","350"
"9300250","75","18000","350"
"9420537","75","15800","352"
"7120105","72","15200","354"
"9300236","56","7200","355"
"9300056","56","7200","355"
"9300047","56","7200","355"
"9300146","76","38000","360"
"9500328","35","13000","360"
"9300042","57","7300","370"
"8140300","76","18000","370"
"7130003","76","18000","370"
"7130601","76","18000","370"
"9300043","57","7300","370"
"9300041","57","7300","370"
"9300118","64","28200","378"
"6400100","77","19000","385"
"6300001","65","11000","390"
"9300150","80","35000","390"
"9500159","70","25000","400"
"7130004","78","20000","400"
"9500160","70","25000","400"
"7130401","70","25000","400"
"6130104","35","14800","400"
"9500130","70","25000","400"
"9500158","70","25000","400"
"7130402","70","25000","400"
"9300326","50","10000","400"
"7130400","70","25000","400"
"9500338","35","7000","405"
"9500307","35","7000","405"
"9300185","35","7000","405"
"3220000","35","7000","405"
"9300009","40","6500","408"
"9300371","50","9800","410"
"5220002","50","9800","410"
"9500341","50","9800","410"
"9300189","50","9800","410"
"9500308","50","9800","410"
"9500142","60","7200","420"
"6130102","60","7200","420"
"9200022","60","7200","420"
"9300237","59","9000","420"
"9300038","59","9000","420"
"5220004","50","15000","425"
"9300049","59","10000","430"
"9300026","62","15000","430"
"9300048","59","10000","430"
"9300033","62","15000","430"
"9500339","38","7700","445"
"6400001","68","13000","445"
"3220001","38","7700","445"
"9300186","38","7700","445"
"9300370","40","7700","445"
"9300136","30","6500","450"
"6300002","65","11000","455"
"9200021","65","11000","455"
"9500141","65","11000","455"
"7120108","77","19000","462"
"9400103","72","15100","465"
"9500329","40","19300","475"
"9300050","60","25000","515"
"9300020","63","16000","520"
"9500179","40","5810","532"
"9500170","45","8925","543"
"9400709","50","162000","543"
"9500332","45","26000","550"
"9500326","45","25500","550"
"9500122","49","9000","580"
"9300334","49","9000","580"
"9500369","15","520","580"
"4240000","49","9000","580"
"9300193","59","21000","650"
"9500310","59","21000","650"
"5220003","59","21000","650"
"9500344","59","21000","650"
"9500330","50","32000","675"
"9500333","50","30000","675"
"9500335","50","30000","675"
"6230201","64","7800","700"
"6400002","68","13000","715"
"4130103","47","11000","720"
"7120109","79","23500","750"
"9300069","97","53000","800"
"9400576","70","16000","800"
"9500340","40","8000","800"
"3300008","38","12500","800"
"9300003","40","8000","800"
"9300187","40","8000","800"
"9300070","97","53000","800"
"8810019","97","53000","800"
"9300194","65","31000","810"
"9500311","65","31000","810"
"9300373","70","31000","810"
"6220000","65","31000","810"
"9500346","65","31000","810"
"9500331","55","46000","850"
"9500161","80","27000","850"
"9300095","80","19000","850"
"9500162","80","27000","850"
"9300010","47","33000","850"
"9500134","80","27000","850"
"8110300","80","27000","850"
"8090000","80","175000","850"
"8140001","80","27000","850"
"8200000","80","24000","850"
"8140000","80","27000","850"
"9400577","90","21000","910"
"9500334","55","48000","925"
"6220001","65","36000","940"
"9500347","65","36000","940"
"9300197","65","36000","940"
"9500373","20","600","980"
"5120100","54","13500","980"
"9400598","200","9999999","999"
"9300066","100","56000","1000"
"8810020","101","57000","1000"
"9300071","101","57000","1000"
"9300072","101","57000","1000"
"8810022","100","56000","1000"
"9400320","45","7500","1000"
"9400536","80","100000","1000"
"9300065","100","56000","1000"
"9300073","103","60000","1050"
"9300074","103","60000","1050"
"8810021","103","80000","1050"
"9300023","66","40000","1060"
"9300022","66","40000","1060"
"9300188","50","18000","1080"
"9600010","50","18000","1080"
"9500163","83","30000","1100"
"9300024","67","35000","1100"
"9400537","100","300000","1100"
"8140002","83","30000","1100"
"7140000","83","30000","1100"
"9300019","65","40000","1120"
"9300025","68","35000","1150"
"9500345","60","20000","1200"
"8810023","105","67000","1200"
"9400545","80","28000","1200"
"6130101","60","20000","1200"
"9500124","60","20000","1200"
"9300191","60","20000","1200"
"9300067","105","67000","1200"
"9300068","105","67000","1200"
"9500309","55","25000","1210"
"5220000","55","25000","1210"
"9300190","55","25000","1210"
"9500342","55","25000","1210"
"8120102","82","29000","1220"
"9420538","82","28000","1250"
"9300078","105","68000","1250"
"9500171","50","18620","1267"
"9500135","85","32000","1300"
"9500312","70","89000","1300"
"9300199","70","89000","1300"
"7220001","70","89000","1300"
"7130010","85","32000","1300"
"9500348","70","89000","1300"
"9400640","70","50000","1325"
"9300097","85","17000","1400"
"7130020","85","17000","1400"
"8140110","85","32000","1420"
"8120103","84","31000","1440"
"7160000","87","35000","1500"
"9400321","70","89000","1500"
"9300075","110","80000","1500"
"9300077","113","85000","1500"
"9400114","50","50000","1500"
"9300079","110","80000","1500"
"9300076","110","80000","1500"
"6300005","65","35000","1500"
"9300196","65","35000","1500"
"9420015","15","500000","1500"
"8120104","86","32000","1560"
"7220000","71","93000","1580"
"9300268","71","93000","1580"
"9500313","71","93000","1580"
"9500350","71","93000","1580"
"9300200","71","93000","1580"
"9500172","50","20230","1590"
"8140103","88","37000","1600"
"9300096","88","37000","1600"
"8140102","88","37000","1600"
"8140101","88","37000","1600"
"9300262","88","37000","1600"
"9300263","88","37000","1600"
"9500164","88","37000","1600"
"9300261","88","37000","1600"
"9500166","88","37000","1600"
"9500165","88","37000","1600"
"8140111","88","37000","1620"
"9400581","80","38000","1650"
"4300013","49","250000","1700"
"7130300","89","40000","1720"
"9500177","50","20692","1780"
"8140700","90","40000","1780"
"9500138","90","45000","1800"
"8140500","90","45000","1800"
"8200001","91","41000","1900"
"8120105","88","37000","1920"
"8140600","92","42500","2000"
"9500353","80","50000","2000"
"9300092","80","50000","2000"
"9300260","80","50000","2000"
"9420539","87","36000","2000"
"9300098","92","42500","2000"
"9500139","80","50000","2000"
"8130100","80","50000","2000"
"9300203","80","50000","2000"
"9300085","80","50000","2000"
"8120106","89","40000","2064"
"8120107","89","25000","2064"
"8141000","93","50000","2100"
"8140701","93","49000","2100"
"8141300","94","46000","2200"
"8200002","94","45000","2200"
"9500176","60","50400","2260"
"9500352","77","108000","2280"
"7220002","77","108000","2280"
"8140702","95","50000","2280"
"8140511","91","43000","2280"
"9300202","77","108000","2280"
"9500314","77","108000","2280"
"8142000","95","53000","2300"
"9400578","90","45000","2350"
"9001000","80","150000","2400"
"9300088","80","120000","2400"
"9001002","80","120000","2400"
"9001003","80","120000","2400"
"9001001","80","90000","2400"
"9001004","80","130000","2400"
"9500175","60","54600","2430"
"9400580","95","51000","2480"
"8150300","97","53000","2500"
"9420540","94","43000","2500"
"8140703","97","55000","2500"
"8142100","97","49000","2500"
"8140512","93","50000","2520"
"9500136","98","58000","2600"
"8141100","98","58000","2600"
"8200003","98","53000","2600"
"9400641","30","50000","2711"
"9500355","83","87000","2800"
"9300204","83","87000","2800"
"8220000","83","87000","2800"
"9500137","95","53000","2800"
"9500315","83","87000","2800"
"8143000","99","60000","2800"
"9500356","85","96000","3000"
"9300375","90","96000","3000"
"9300377","110","200000","3000"
"9300376","90","96000","3000"
"7220005","77","40000","3000"
"8220002","85","96000","3000"
"9300206","85","96000","3000"
"9300099","100","56000","3000"
"8150100","100","56000","3000"
"8150200","100","56000","3000"
"9300265","101","57000","3050"
"8150301","101","57000","3050"
"8150101","102","58500","3100"
"8200004","101","59000","3100"
"9300264","103","60000","3150"
"8150302","103","60000","3150"
"8220009","85","110000","3180"
"9400013","100","68000","3200"
"9400574","100","56000","3200"
"8200005","106","71000","3350"
"9300292","100","560000","3500"
"9300291","100","560000","3500"
"9300094","100","50000","3500"
"9300210","100","100000","3500"
"9500140","100","100000","3500"
"9300293","100","560000","3500"
"9300294","100","560000","3500"
"8150000","100","100000","3500"
"9500358","100","100000","3500"
"9400579","100","70000","3600"
"8200006","109","79000","3600"
"8150201","105","67000","3700"
"8190000","105","68000","3800"
"8220010","81","300000","3800"
"6090003","62","6000","3984"
"9300107","70","300000","4000"
"8170000","108","70000","4100"
"9300086","108","70000","4100"
"9300100","108","70000","4100"
"9410015","85","230000","4230"
"9300207","85","230000","4230"
"8160000","108","78000","4300"
"8220011","85","410000","4300"
"8190005","110","80000","4450"
"8200007","113","90000","4500"
"8190003","110","80000","4500"
"8190004","113","85000","4750"
"9300192","56","125000","4800"
"9300012","56","125000","4800"
"9500343","56","125000","4800"
"8200008","116","99000","4960"
