"Rango";"Nombre";"ID";"Nivel";"HP";"EXP";"Boss"
"30-35";"Sand Dwarf ";"3100101";"32";"1000";"60";"NO"
"30-35";"Leatty";"5300000";"32";"1000";"60";"NO"
"30-35";"Fire Boar";"3210100";"32";"1000";"60";"NO"
"30-35";"Fire Boar (PC)";"9200001";"32";"1000";"60";"NO"
"30-35";"Cube Slime";"3110300";"32";"1000";"62";"NO"
"30-35";"Dark Sand Dwarf ";"3110301";"32";"1000";"62";"NO"
"30-35";"Ratz";"9500109";"32";"1000";"65";"NO"
"30-35";"Ratz";"3110102";"32";"1000";"65";"NO"
"30-35";"Pink Teddy";"3110101";"32";"1050";"65";"NO"
"30-35";"Lupin Pig";"9302011";"32";"1050";"65";"NO"
"30-35";"Pink Tanny";"9200017";"32";"1050";"65";"NO"
"30-35";"Mask Fish";"3230104";"32";"1000";"65";"NO"
"30-35";"Helmet Pepe";"3300003";"32";"850";"71";"NO"
"30-35";"Ligator (PC)";"9300001";"32";"1000";"120";"NO"
"30-35";"Ratz from Another Dimension";"9300169";"32";"3700";"260";"NO"
"30-35";"Ratz from Another Dimension";"9300005";"32";"3700";"260";"NO"
"30-35";"Astaroth";"9400633";"32";"180000";"5250";"SI"
"30-35";"Nospeed";"9420503";"33";"1000";"60";"NO"
"30-35";"Sakura Cellion";"9400509";"33";"1100";"65";"NO"
"30-35";"Dark Leatty";"5300001";"33";"1100";"65";"NO"
"30-35";"Jr. Grupin";"3210202";"33";"1100";"65";"NO"
"30-35";"Jr. Lioner";"3210201";"33";"1100";"65";"NO"
"30-35";"Jr. Cellion";"3210200";"33";"1100";"65";"NO"
"30-35";"Cow";"9600006";"33";"1200";"66";"NO"
"30-35";"Royal Guard Pepe";"3300004";"33";"900";"75";"NO"
"30-35";"Black Ratz";"3210205";"34";"1150";"70";"NO"
"30-35";"Tick";"3210207";"34";"1100";"70";"NO"
"30-35";"Tick";"9300232";"34";"1100";"70";"NO"
"30-35";"Roloduck";"3210204";"34";"1200";"70";"NO"
"30-35";"Black Ratz from Another Dimension";"9300170";"34";"4300";"280";"NO"
"30-35";"Black Ratz from Another Dimension";"9300006";"34";"4300";"280";"NO"
"30-35";"Curse Eye GL";"9400524";"35";"1250";"0";"NO"
"30-35";"Bomb";"9300166";"35";"10000";"0";"SI"
"30-35";"P Slime";"9400520";"35";"1300";"0";"NO"
"30-35";"G Slime";"9400519";"35";"1300";"0";"NO"
"30-35";"Curse Eye 2";"9000001";"35";"800";"0";"NO"
"30-35";"Scarred Bear";"9001012";"35";"800";"0";"NO"
"30-35";"Fire Boar 2";"9000100";"35";"600";"0";"NO"
"30-35";"Blue Mushroom 2";"9000301";"35";"600";"0";"NO"
"30-35";"OctoPirate";"9001005";"35";"800";"0";"NO"
"30-35";"Cold Eye 2";"9000300";"35";"800";"0";"NO"
"30-35";"Evil Eye 2";"9000200";"35";"800";"0";"NO"
"30-35";"Lupin 2";"9000101";"35";"800";"0";"NO"
"30-35";"Zombie Mushroom 2";"9000201";"35";"600";"0";"NO"
"30-35";"Scarecrow for Training";"9001007";"35";"800";"0";"NO"
"30-35";"Tiguru of Exam";"9001011";"35";"800";"0";"NO"
"30-35";"OctoPirate";"9001006";"35";"800";"0";"NO"
"30-35";"Horned Mushroom 2";"9000002";"35";"600";"0";"NO"
"30-35";"Jr. Pepe Doll  ";"3400006";"35";"200";"5";"NO"
"30-35";"Yeti Doll  ";"3400004";"35";"200";"5";"NO"
"30-35";"Watermelon Guard Hogol ";"9500183";"35";"330000000";"35";"SI"
"30-35";"Watermelon Guard Hogol ";"9500182";"35";"330000000";"35";"SI"
"30-35";"Jr. Wraith";"9500111";"35";"1200";"70";"NO"
"30-35";"Curse Eye";"3230100";"35";"1250";"70";"NO"
"30-35";"Jr. Wraith";"3230101";"35";"1200";"70";"NO"
"30-35";"Jr. Wraith";"9500157";"35";"1200";"70";"NO"
"30-35";"Black Goat";"9600005";"35";"1250";"71";"NO"
"30-35";"Star Pixie";"3230200";"35";"1300";"72";"NO"
"30-35";"Bloctopus";"3230302";"35";"1300";"72";"NO"
"30-35";"Star Pixie";"9500110";"35";"1300";"72";"NO"
"30-35";"Coke Pig";"9500143";"35";"1400";"72";"NO"
"30-35";"Rumo";"3110302";"35";"1400";"75";"NO"
"30-35";"Jr. Pepe";"9500112";"35";"1400";"75";"NO"
"30-35";"Jr. Pepe";"5400000";"35";"1400";"75";"NO"
"30-35";"Cherry Bubble Tea";"3400000";"35";"1400";"80";"NO"
"30-35";"Green Eggy Popp";"9400510";"35";"1250";"85";"NO"
"30-35";"Jr. Boogie 2";"3230301";"35";"1700";"150";"NO"
"30-35";"Jr. Boogie 1";"3230300";"35";"1700";"150";"NO"
"30-35";"Grey Yeti and King Pepe";"3300005";"35";"120000";"210";"SI"
"30-35";"Gold Yeti and King Pepe";"3300006";"35";"120000";"210";"SI"
"30-35";"White Yeti and King Pepe";"3300007";"35";"120000";"210";"SI"
"30-35";"Curse Eye (PC)";"9300002";"35";"2000";"280";"NO"
"30-35";"Bloctopus from Another Dimension";"9300007";"35";"4900";"288";"NO"
"30-35";"Bloctopus from Another Dimension";"9300171";"35";"4900";"288";"NO"
"30-35";"Crimson Balrog";"9500328";"35";"13000";"360";"SI"
"30-35";"Boogie";"6130104";"35";"14800";"400";"NO"
"30-35";"Stumpy";"9300185";"35";"7000";"405";"SI"
"30-35";"Stumpy";"9500307";"35";"7000";"405";"SI"
"30-35";"Stumpy";"3220000";"35";"7000";"405";"SI"
"30-35";"Stumpy";"9500338";"35";"7000";"405";"SI"
"30-35";"Cursed Frog";"9400635";"35";"14000000";"5000";"SI"
"30-35";"Cursed Black Cat";"9400637";"35";"14000000";"5000";"SI"
"36-40";"Helly";"3210206";"36";"1350";"77";"NO"
"36-40";"Helly";"9500117";"36";"1350";"77";"NO"
"36-40";"Panda Teddy";"9500113";"36";"1400";"77";"NO"
"36-40";"Panda Teddy";"3210203";"36";"1400";"77";"NO"
"36-40";"Retz";"3210208";"36";"1400";"78";"NO"
"36-40";"Scuba Pepe";"3210450";"36";"1430";"80";"NO"
"36-40";"Yeti Doll";"9410009";"36";"1550";"81";"NO"
"36-40";"Jr. Pepe Doll";"9410011";"36";"1400";"81";"NO"
"36-40";"Fire Tusk";"9400542";"36";"1450";"85";"NO"
"36-40";"Mango Bubble Tea";"3400001";"36";"1500";"85";"NO"
"36-40";"Puppeteer";"9300346";"37";"20000";"0";"SI"
"36-40";"Lupin (PC)";"9200006";"37";"1500";"77";"NO"
"36-40";"Lupin";"9300225";"37";"1500";"77";"NO"
"36-40";"Lupin";"3210800";"37";"1500";"77";"NO"
"36-40";"Black Sheep";"9300224";"37";"1500";"79";"NO"
"36-40";"Black Sheep";"9600008";"37";"1500";"79";"NO"
"36-40";"Lorang";"9500115";"37";"1950";"80";"NO"
"36-40";"Lorang";"9300227";"37";"1950";"80";"NO"
"36-40";"Lorang";"3230102";"37";"1950";"80";"NO"
"36-40";"Chronos";"3230306";"37";"1750";"82";"NO"
"36-40";"Cronos";"9300015";"37";"2750";"82";"NO"
"36-40";"Propelly";"3230303";"37";"1700";"82";"NO"
"36-40";"Melon Bubble Tea";"3400002";"37";"1600";"88";"NO"
"36-40";"O Slime";"9400521";"38";"1850";"0";"NO"
"36-40";"Indigo Eye PQ";"9400533";"38";"1550";"0";"NO"
"36-40";"B Slime";"9400522";"38";"1850";"0";"NO"
"36-40";"Freezer";"9420501";"38";"1900";"80";"NO"
"36-40";"King Blockpus";"9500114";"38";"1850";"85";"NO"
"36-40";"Indigo Eye";"9400515";"38";"1550";"85";"NO"
"36-40";"Planey";"3230304";"38";"1830";"85";"NO"
"36-40";"Triple Rumo";"3110303";"38";"1850";"85";"NO"
"36-40";"Jr. Seal";"3230405";"38";"1850";"85";"NO"
"36-40";"King Bloctopus";"3230103";"38";"1850";"85";"NO"
"36-40";"Plow Ox";"9600007";"38";"1800";"86";"NO"
"36-40";"Coke Seal";"9500145";"38";"1850";"87";"NO"
"36-40";"Yellow Bubble Tea";"9410006";"38";"1900";"88";"NO"
"36-40";"Green Bubble Tea";"9410007";"38";"1900";"88";"NO"
"36-40";"Red Bubble Tea";"9410005";"38";"1900";"88";"NO"
"36-40";"Yeti Doll Claw Game";"3400003";"38";"1600";"95";"NO"
"36-40";"Jr. Pepe Doll Claw Game";"3400005";"38";"1700";"100";"NO"
"36-40";"Deo";"9500339";"38";"7700";"445";"SI"
"36-40";"Deo";"3220001";"38";"7700";"445";"SI"
"36-40";"Deo";"9300186";"38";"7700";"445";"SI"
"36-40";"Prime Minister";"3300008";"38";"12500";"800";"SI"
"36-40";"Pharaoh Jr. Yeti";"9700019";"39";"1";"0";"NO"
"36-40";"Pyramid Skeleton";"9700005";"39";"1";"0";"NO"
"36-40";"Anubis";"9700008";"39";"1";"0";"NO"
"36-40";"Pharaoh Yeti";"9700021";"39";"1";"0";"SI"
"36-40";"Toy Trojan GL";"9400531";"39";"1920";"0";"NO"
"36-40";"Mummy";"9700006";"39";"1";"0";"NO"
"36-40";"Pharaoh Snake";"9700007";"39";"1";"0";"NO"
"36-40";"Pyramid Mummydog";"9700004";"39";"1";"0";"NO"
"36-40";"Transformed Doll Claw Game";"3400007";"39";"200";"5";"NO"
"36-40";"Tweeter";"9500118";"39";"1900";"85";"NO"
"36-40";"Tweeter";"3230308";"39";"1900";"85";"NO"
"36-40";"Toy Trojan";"9500119";"39";"1920";"92";"NO"
"36-40";"Toy Trojan";"3230305";"39";"1920";"92";"NO"
"36-40";"Toy Trojan";"9300011";"39";"1920";"92";"NO"
"36-40";"Transformed Doll Claw Game";"3400008";"39";"1800";"110";"NO"
"36-40";"Toy Trojan";"9300131";"39";"2300";"115";"NO"
"36-40";"유령선 함장의 영혼";"9700038";"40";"1";"0";"SI"
"36-40";"Cold Eye GL";"9400525";"40";"2000";"0";"NO"
"36-40";"Snack Bar";"9500178";"40";"1435";"0";"NO"
"36-40";"Transparent Pharaoh Yeti";"9700022";"40";"1";"0";"SI"
"36-40";"Crystal Boar PQ";"9400534";"40";"1900";"0";"NO"
"36-40";"Magik Fiarry A PQ";"9400535";"40";"1930";"0";"NO"
"36-40";"Pharaoh Jr. Yeti";"9700029";"40";"1";"0";"NO"
"36-40";"Zombie Lupin GL";"9400530";"40";"1800";"0";"NO"
"36-40";"Transparent Pharaoh Yeti";"9700023";"40";"1";"0";"SI"
"36-40";"Blue Perfume";"4300000";"40";"1";"0";"NO"
"36-40";"Spirit of Rock's Soul";"4300017";"40";"1";"0";"SI"
"36-40";"Baby typhon";"9400573";"40";"100";"10";"NO"
"36-40";"Cold Eye (PC)";"9200013";"40";"2000";"85";"NO"
"36-40";"Cold Eye";"4230100";"40";"2000";"85";"NO"
"36-40";"Angry Snowman";"9500318";"40";"4500";"85";"SI"
"36-40";"Crystal Boar";"9400516";"40";"1900";"90";"NO"
"36-40";"Zombie Lupin";"9300226";"40";"1800";"90";"NO"
"36-40";"Zombie Lupin (PC)";"9200007";"40";"1800";"90";"NO"
"36-40";"Zombie Lupin";"4230101";"40";"1800";"90";"NO"
"36-40";"Zombie Lupin";"9500116";"40";"1800";"90";"NO"
"36-40";"Paper Lantern Ghost";"9400011";"40";"1920";"93";"NO"
"36-40";"Poopa";"4230200";"40";"1900";"95";"NO"
"36-40";"Barnard Gray";"9300332";"40";"1930";"95";"NO"
"36-40";"Tick-Tock";"9300233";"40";"1900";"95";"NO"
"36-40";"Barnard Gray";"4230116";"40";"1930";"95";"NO"
"36-40";"Desert Giant ";"4230600";"40";"1800";"95";"NO"
"36-40";"Clown Monkey";"9410003";"40";"1850";"95";"NO"
"36-40";"Red Lizard";"9420003";"40";"1920";"95";"NO"
"36-40";"Tick-Tock";"4230113";"40";"1900";"95";"NO"
"36-40";"Chipmunk";"4230500";"40";"1900";"95";"NO"
"36-40";"Poison Poopa";"4230201";"40";"1910";"97";"NO"
"36-40";"Angry Strawberry Cake";"9400603";"40";"1300";"100";"NO"
"36-40";"Blue Perfume";"4300001";"40";"1800";"110";"NO"
"36-40";"Nightmare";"9400563";"40";"0";"120";"NO"
"36-40";"Magik Fierry A";"9400517";"40";"1930";"135";"NO"
"36-40";"Block Golem from Another Dimension";"9300009";"40";"6500";"408";"NO"
"36-40";"Witch Bear";"9300370";"40";"7700";"445";"SI"
"36-40";"Papa Pixie";"9500329";"40";"19300";"475";"SI"
"36-40";"Transformed Snack Bar";"9500179";"40";"5810";"532";"SI"
"36-40";"King Slime";"9500340";"40";"8000";"800";"SI"
"36-40";"King Slime";"9300187";"40";"8000";"800";"SI"
"36-40";"King Slime";"9300003";"40";"8000";"800";"SI"
"36-40";"Silver Slime";"9400203";"40";"800";"20000";"NO"
"41-45";"Yellow Perfume";"4300002";"41";"1";"0";"NO"
"41-45";"Electrophant";"9400543";"41";"1600";"95";"NO"
"41-45";"Flyeye (JP)";"9400217";"41";"1600";"95";"NO"
"41-45";"Flyeye";"4230107";"41";"1600";"95";"NO"
"41-45";"Platoon Chronos";"4230114";"41";"2050";"99";"NO"
"41-45";"Platoon Chronos";"9300230";"41";"2050";"99";"NO"
"41-45";"Robo";"4230111";"41";"2000";"99";"NO"
"41-45";"Platoon Cronos";"9300016";"41";"3050";"99";"NO"
"41-45";"Red Porky";"4230501";"41";"2000";"99";"NO"
"41-45";"Mateon";"9300335";"41";"2080";"99";"NO"
"41-45";"Mateon";"4230119";"41";"2080";"99";"NO"
"41-45";"Yellow Perfume";"4300003";"41";"1900";"115";"NO"
"41-45";"Pink Perfume";"4300004";"42";"1";"0";"NO"
"41-45";"Nependeath";"4230122";"42";"2100";"99";"NO"
"41-45";"Iron Hog";"4230103";"42";"2200";"99";"NO"
"41-45";"Nependeath";"4230105";"42";"2100";"99";"NO"
"41-45";"Iron Hook";"4090000";"42";"2200";"99";"NO"
"41-45";"Play Seal";"9500146";"42";"2250";"100";"NO"
"41-45";"Zeta Gray";"4230117";"42";"2300";"102";"NO"
"41-45";"Zeta";"9300239";"42";"2300";"102";"NO"
"41-45";"Mossy Snail";"4250000";"42";"2400";"102";"NO"
"41-45";"Angry Stray Dog";"9410002";"42";"2300";"102";"NO"
"41-45";"Block Golem";"4230109";"42";"2400";"102";"NO"
"41-45";"Freezer";"4230124";"42";"2300";"102";"NO"
"41-45";"Iron Mutae";"4110300";"42";"2400";"102";"NO"
"41-45";"Zeta Gray (JP)";"9400216";"42";"2300";"102";"NO"
"41-45";"Pink Perfume";"4300005";"42";"2000";"120";"NO"
"41-45";"Iron Hog";"9300060";"42";"1100";"296";"NO"
"41-45";"Jr. Cerebes";"4230108";"43";"2300";"102";"NO"
"41-45";"Black Porky";"4230502";"43";"2400";"103";"NO"
"41-45";"Sparker";"4230123";"43";"2400";"103";"NO"
"41-45";"Octobunny";"9420508";"43";"2150";"120";"NO"
"41-45";"Kid Mannequin";"4300006";"43";"2300";"122";"NO"
"41-45";"Dark Eye from Another Dimension";"9300014";"43";"6500";"340";"NO"
"41-45";"Shadow Eye from Another Dimension";"9300008";"43";"7100";"340";"NO"
"41-45";"Deathly Fear";"9300084";"43";"6500";"340";"NO"
"41-45";"Pyramid Skeleton";"9700010";"44";"1";"0";"NO"
"41-45";"Pyramid Mummydog";"9700009";"44";"1";"0";"NO"
"41-45";"Mummy";"9700011";"44";"1";"0";"NO"
"41-45";"Anubis";"9700013";"44";"1";"0";"NO"
"41-45";"Pharaoh Snake";"9700012";"44";"1";"0";"NO"
"41-45";"Crimson Balrog";"6400006";"44";"50000";"10";"SI"
"41-45";"주니어 발록";"6400005";"44";"50000";"10";"SI"
"41-45";"Master Robo";"4230112";"44";"2450";"105";"NO"
"41-45";"Plateon";"4230120";"44";"2480";"105";"NO"
"41-45";"Skeledog";"4230125";"44";"2450";"107";"NO"
"41-45";"I.AM.ROBOT";"9400546";"44";"2490";"120";"NO"
"41-45";"Female Mannequin";"4300007";"44";"2400";"125";"NO"
"41-45";"Giant Nependeath";"9300378";"45";"2000";"0";"NO"
"41-45";"Giant";"9300348";"45";"25000";"0";"SI"
"41-45";"Seruf";"4220001";"45";"2550";"0";"SI"
"41-45";"Red Flower Serpent";"9300161";"45";"2550";"0";"SI"
"41-45";"Blue Flower Serpent";"9300160";"45";"2550";"0";"SI"
"41-45";"Leprechaun";"9400584";"45";"45";"0";"NO"
"41-45";"Copper Drake";"4130100";"45";"2700";"105";"NO"
"41-45";"Lunar Pixie";"4230106";"45";"2500";"105";"NO"
"41-45";"Reinforced Iron Mutae";"9300252";"45";"2550";"110";"NO"
"41-45";"Big Cloud Fox";"9400004";"45";"2600";"110";"NO"
"41-45";"King Block Golem";"9500120";"45";"2600";"110";"NO"
"41-45";"Reinforced Iron Mutae";"4110301";"45";"2550";"110";"NO"
"41-45";"Igloo Turtle";"9500148";"45";"2600";"110";"NO"
"41-45";"Ultra Gray";"9300240";"45";"2550";"110";"NO"
"41-45";"Ultra Gray";"4230118";"45";"2550";"110";"NO"
"41-45";"King Block Golem";"4230110";"45";"2600";"110";"NO"
"41-45";"Giant Nependeath";"9300347";"45";"5000";"110";"NO"
"41-45";"Moon Bunny";"4230300";"45";"2600";"110";"NO"
"41-45";"Ultra Gray (JP)";"9400215";"45";"2550";"110";"NO"
"41-45";"Red Flower Serpent";"4230504";"45";"2550";"110";"NO"
"41-45";"Blue Flower Serpent";"4230503";"45";"2550";"110";"NO"
"41-45";"Iron Boar";"4230400";"45";"2650";"115";"NO"
"41-45";"Green Boogie";"9400007";"45";"2900";"120";"NO"
"41-45";"Deluxe Candle";"9400604";"45";"2000";"120";"NO"
"41-45";"Male Mannequin";"4300008";"45";"2500";"128";"NO"
"41-45";"Extra A";"9400100";"45";"2800";"130";"NO"
"41-45";"Chlorotrap";"9420527";"45";"2600";"132";"NO"
"41-45";"Leprechaun";"9400583";"45";"2800";"135";"NO"
"41-45";"Seruf";"4220000";"45";"7800";"330";"SI"
"41-45";"Papa Pixie";"9500170";"45";"8925";"543";"SI"
"41-45";"Pianus";"9500332";"45";"26000";"550";"SI"
"41-45";"Mushmom";"9500326";"45";"25500";"550";"SI"
"41-45";"Cross (Medium)";"9400320";"45";"7500";"1000";"SI"
"46-50";"Tortie";"4130101";"46";"2550";"110";"NO"
"46-50";"Mecateon";"4230121";"46";"2600";"110";"NO"
"46-50";"Mecateon";"9300336";"46";"2600";"110";"NO"
"46-50";"Mecateon";"9300337";"46";"2600";"110";"NO"
"46-50";"Tree Rod";"4250001";"46";"2600";"112";"NO"
"46-50";"Master Chronos";"4230115";"46";"2600";"115";"NO"
"46-50";"Master Chronos";"9300231";"46";"2600";"115";"NO"
"46-50";"Master Cronos";"9300017";"46";"3600";"115";"NO"
"46-50";"Master Chronos (JP)";"9400214";"46";"2600";"115";"NO"
"46-50";"Latest Hits Compilation";"4300009";"46";"2600";"130";"NO"
"46-50";"Dark Nependeath";"4130102";"47";"2700";"115";"NO"
"46-50";"Dark Nependeath";"4130104";"47";"2700";"115";"NO"
"46-50";"Mithril  mutae";"4110302";"47";"2750";"117";"NO"
"46-50";"Jar";"4230505";"47";"2700";"117";"NO"
"46-50";"Biker Monkey";"9410004";"47";"2800";"117";"NO"
"46-50";"Mummydog";"4230126";"47";"2750";"117";"NO"
"46-50";"Greatest Oldies";"4300010";"47";"2700";"133";"NO"
"46-50";"Emo Slime";"9420528";"47";"2850";"135";"NO"
"46-50";"Extra B";"9400101";"47";"2800";"139";"NO"
"46-50";"Greatest Oldies";"4300014";"47";"2700";"150";"NO"
"46-50";"Mithril Mutae";"9300255";"47";"23000";"300";"NO"
"46-50";"Reinforced Mithril Mutae";"9300144";"47";"23000";"300";"NO"
"46-50";"Rombot";"4130103";"47";"11000";"720";"SI"
"46-50";"Rombad from Another Dimension";"9300010";"47";"33000";"850";"SI"
"46-50";"Baby Balrog";"6400007";"48";"2800";"10";"SI"
"46-50";"Wraith";"9500121";"48";"2800";"120";"NO"
"46-50";"Wraith";"9500156";"48";"2800";"120";"NO"
"46-50";"Wraith";"4230102";"48";"2800";"120";"NO"
"46-50";"Ginseng Jar";"4230506";"48";"2800";"123";"NO"
"46-50";"Clang";"9300228";"48";"3000";"128";"NO"
"46-50";"Clang";"4230104";"48";"3000";"128";"NO"
"46-50";"Cheap Amplifier";"4300011";"48";"2800";"138";"NO"
"46-50";"Trucker";"9420507";"48";"3000";"160";"NO"
"46-50";"Cheap Amplifier";"4300015";"48";"2800";"180";"NO"
"46-50";"Pharaoh Snake";"9700017";"49";"1";"0";"NO"
"46-50";"Anubis";"9700018";"49";"1";"0";"NO"
"46-50";"Pyramid Skeleton";"9700015";"49";"1";"0";"NO"
"46-50";"Pyramid Mummydog";"9700014";"49";"1";"0";"NO"
"46-50";"Mummy";"9700016";"49";"1";"0";"NO"
"46-50";"Fancy Amplifier ";"4300012";"49";"3000";"143";"NO"
"46-50";"Fancy Amplifier ";"4300016";"49";"3000";"190";"NO"
"46-50";"Chief Gray";"9300334";"49";"9000";"580";"NO"
"46-50";"Chief Gray";"9500122";"49";"9000";"580";"NO"
"46-50";"Chief Gray";"4240000";"49";"9000";"580";"NO"
"46-50";"Spirit of Rock";"4300013";"49";"250000";"1700";"SI"
"46-50";"Giant Snowman (Lvl 5) - Medium";"9400331";"50";"14000";"0";"NO"
"46-50";"Giant Snowman (Lvl 2) - Medium";"9400328";"50";"11000";"0";"NO"
"46-50";"Giant Snowman (Lvl 1) - Medium";"9400327";"50";"10000";"0";"NO"
"46-50";"Giant Snowman (Lvl 3) - Medium";"9400329";"50";"12000";"0";"NO"
"46-50";"Transforming Jr. Yeti";"5100001";"50";"3700";"0";"NO"
"46-50";"Balrog Corpse";"9300327";"50";"30000";"0";"SI"
"46-50";"Giant Snowman (Lvl 4) - Medium";"9400330";"50";"13000";"0";"NO"
"46-50";"Sophilia Doll Ground";"9400559";"50";"2000";"55";"NO"
"46-50";"Giant Centipede";"9600009";"50";"18000";"108";"SI"
"46-50";"Sophilia Doll";"9400560";"50";"1800";"115";"NO"
"46-50";"Red Eggy Popp";"9400749";"50";"2150";"120";"NO"
"46-50";"Phantom Tree";"9400587";"50";"3500";"122";"NO"
"46-50";"Phantom Tree";"9400588";"50";"3500";"122";"NO"
"46-50";"Tippo Red";"9420504";"50";"2900";"130";"NO"
"46-50";"Straw Target Dummy";"5120503";"50";"3000";"135";"NO"
"46-50";"Drake (PC)";"9200012";"50";"3200";"135";"NO"
"46-50";"Yeti UFO Catcher";"9410008";"50";"3800";"135";"NO"
"46-50";"Jr. Yetti";"9200018";"50";"3700";"135";"NO"
"46-50";"Reinforced Mithril Mutae";"9300253";"50";"3000";"135";"NO"
"46-50";"Jr. Yeti";"5100000";"50";"3700";"135";"NO"
"46-50";"Reinforced Mithril Mutae ";"5110300";"50";"3000";"135";"NO"
"46-50";"Jr. Pepe UFO Catcher";"9410010";"50";"3800";"135";"NO"
"46-50";"Drake";"5130100";"50";"3200";"135";"NO"
"46-50";"Coke Golem";"9500149";"50";"3600";"136";"NO"
"46-50";"Possessed Bear Doll";"9400650";"50";"2950";"140";"NO"
"46-50";"Hodori";"5100003";"50";"3800";"140";"NO"
"46-50";"Possessed Rabbit Doll";"9400651";"50";"3950";"145";"NO"
"46-50";"Extra C";"9400102";"50";"3100";"148";"NO"
"46-50";"Headless Horseman";"9400571";"50";"4000";"160";"SI"
"46-50";"Gryphon";"9400544";"50";"3300";"220";"NO"
"46-50";"Dead Scarecrow";"9400639";"50";"3300";"220";"NO"
"46-50";"Unknown Jr. Balrog";"9300326";"50";"10000";"400";"SI"
"46-50";"Witch Bear";"9300371";"50";"9800";"410";"SI"
